Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,18.72,20000,2,477627.937372414,pagerank
Bayesian_UCB_prior,MUDAR,11.807,20000,2,322092.41801367595,pagerank
TH_prior,MUDAR,16.323,20000,2,351691.0999967352,pagerank
UCB,MUDAR,16.66,20000,3,535356.6355053764,pagerank
Bayesian_UCB_prior,MUDAR,13.882,20000,3,470521.5583864337,pagerank
TH_prior,MUDAR,13.434,20000,3,405715.06673871086,pagerank
UCB,MUDAR,9.107,20000,4,595245.9708450348,pagerank
Bayesian_UCB_prior,MUDAR,7.339,20000,4,546745.2524415888,pagerank
TH_prior,MUDAR,10.041,20000,4,562261.8387499169,pagerank
UCB,MUDAR,9.778,20000,5,719429.1134576775,pagerank
Bayesian_UCB_prior,MUDAR,8.028,20000,5,576519.2350615337,pagerank
TH_prior,MUDAR,11.606,20000,5,576783.7759717135,pagerank
UCB,MUDAR,6.997,20000,2,417245.1521824725,degree
Bayesian_UCB_prior,MUDAR,5.39,20000,2,349691.8600465272,degree
TH_prior,MUDAR,6.656,20000,2,327361.9962539475,degree
UCB,MUDAR,5.484,20000,3,578524.7370448995,degree
Bayesian_UCB_prior,MUDAR,4.889,20000,3,434239.4213155394,degree
TH_prior,MUDAR,6.302,20000,3,426445.61191285454,degree
UCB,MUDAR,4.967,20000,4,670971.5723586595,degree
Bayesian_UCB_prior,MUDAR,4.729,20000,4,557337.757757034,degree
TH_prior,MUDAR,8.334,20000,4,509722.27512354887,degree
UCB,MUDAR,7.779,20000,5,716559.3538813337,degree
Bayesian_UCB_prior,MUDAR,6.712,20000,5,562265.7961317668,degree
TH_prior,MUDAR,7.995,20000,5,521363.3437102389,degree
UCB,MUDAR,6.574,20000,2,432462.2278469807,voterank
Bayesian_UCB_prior,MUDAR,6.719,20000,2,352363.9256173863,voterank
TH_prior,MUDAR,7.457,20000,2,341888.97698445834,voterank
UCB,MUDAR,5.515,20000,3,553540.1286229988,voterank
Bayesian_UCB_prior,MUDAR,6.313,20000,3,461351.65573711,voterank
TH_prior,MUDAR,6.845,20000,3,425565.0597996198,voterank
UCB,MUDAR,5.985,20000,4,506533.80145987426,voterank
Bayesian_UCB_prior,MUDAR,6.399,20000,4,497114.4951942306,voterank
TH_prior,MUDAR,8.697,20000,4,540858.960454461,voterank
UCB,MUDAR,10.52,20000,5,707268.4418954588,voterank
Bayesian_UCB_prior,MUDAR,8.821,20000,5,569785.7730619301,voterank
TH_prior,MUDAR,8.429,20000,5,632713.3922568677,voterank
