,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,52.192,40000,2,862005.0,degree
1,UCB,MUDAR,32.027,40000,2,834160.1678315079,voterank
2,UCB,GIDM,28.803,40000,2,1103737.0,voterank
3,UCB,MUDAN,54.092,40000,3,1391362.0,degree
4,UCB,MUDAR,54.38,40000,3,1294522.8366199404,degree
5,UCB,GIDM,37.97,40000,3,1329484.0,degree
6,UCB,MUDAN,29.766,40000,4,1452074.0,voterank
7,UCB,MUDAR,48.333,40000,4,1225989.7610997795,pagerank
8,UCB,GIDM,34.787,40000,4,1466712.0,voterank
9,UCB,MUDAN,41.395,40000,5,1745619.0,voterank
10,UCB,MUDAR,46.301,40000,5,1427178.9543167262,degree
11,UCB,GIDM,34.061,40000,5,1607106.0,degree
