Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,55.644,60000,2,1547405.0,pagerank
Bayesian_UCB_prior,GIDM,54.953,60000,2,1386598.0,pagerank
TH_prior,GIDM,62.699,60000,2,1384226.0,pagerank
UCB,GIDM,66.948,60000,3,1863616.0,pagerank
Bayesian_UCB_prior,GIDM,55.869,60000,3,1614506.0,pagerank
TH_prior,GIDM,60.633,60000,3,1619537.0,pagerank
UCB,GIDM,75.999,60000,4,2227170.0,pagerank
Bayesian_UCB_prior,GIDM,60.216,60000,4,1855786.0,pagerank
TH_prior,GIDM,67.111,60000,4,1872643.0,pagerank
UCB,GIDM,61.36,60000,5,2466314.0,pagerank
Bayesian_UCB_prior,GIDM,58.828,60000,5,2044984.0,pagerank
TH_prior,GIDM,67.555,60000,5,2129349.0,pagerank
UCB,GIDM,70.067,60000,2,1464899.0,degree
Bayesian_UCB_prior,GIDM,72.378,60000,2,1356813.0,degree
TH_prior,GIDM,63.557,60000,2,1299725.0,degree
UCB,GIDM,83.369,60000,3,2072046.0,degree
Bayesian_UCB_prior,GIDM,64.851,60000,3,1601796.0,degree
TH_prior,GIDM,70.609,60000,3,1655272.0,degree
UCB,GIDM,61.636,60000,4,2369594.0,degree
Bayesian_UCB_prior,GIDM,63.782,60000,4,1858187.0,degree
TH_prior,GIDM,78.447,60000,4,2045919.0,degree
UCB,GIDM,47.558,60000,5,2304366.0,degree
Bayesian_UCB_prior,GIDM,66.257,60000,5,2054851.0,degree
TH_prior,GIDM,75.016,60000,5,2136295.0,degree
UCB,GIDM,67.669,60000,2,1811958.0,voterank
Bayesian_UCB_prior,GIDM,64.714,60000,2,1412758.0,voterank
TH_prior,GIDM,71.5,60000,2,1525539.0,voterank
UCB,GIDM,73.801,60000,3,2586443.0,voterank
Bayesian_UCB_prior,GIDM,55.353,60000,3,1575783.0,voterank
TH_prior,GIDM,72.158,60000,3,1719211.0,voterank
UCB,GIDM,93.507,60000,4,2083573.0,voterank
Bayesian_UCB_prior,GIDM,66.126,60000,4,2070010.0,voterank
TH_prior,GIDM,70.989,60000,4,2059839.0,voterank
UCB,GIDM,82.627,60000,5,2460842.0,voterank
Bayesian_UCB_prior,GIDM,57.195,60000,5,1946230.0,voterank
TH_prior,GIDM,70.756,60000,5,2169497.0,voterank
