Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,42.992,60000,2,1603797.0,pagerank
Bayesian_UCB_prior,GIDM,53.553,60000,2,1418696.0,pagerank
TH_prior,GIDM,60.757,60000,2,1330599.0,pagerank
UCB,GIDM,59.832,60000,3,1936187.0,pagerank
Bayesian_UCB_prior,GIDM,51.988,60000,3,1425660.0,pagerank
TH_prior,GIDM,61.599,60000,3,1526839.0,pagerank
UCB,GIDM,63.817,60000,4,2314593.0,pagerank
Bayesian_UCB_prior,GIDM,58.169,60000,4,1808493.0,pagerank
TH_prior,GIDM,60.535,60000,4,1551055.0,pagerank
UCB,GIDM,61.383,60000,5,2002101.0,pagerank
Bayesian_UCB_prior,GIDM,63.717,60000,5,1882345.0,pagerank
TH_prior,GIDM,71.087,60000,5,1962193.0,pagerank
UCB,GIDM,62.585,60000,2,1627548.0,degree
Bayesian_UCB_prior,GIDM,59.766,60000,2,1170838.0,degree
TH_prior,GIDM,62.774,60000,2,1366088.0,degree
UCB,GIDM,64.64,60000,3,1730265.0,degree
Bayesian_UCB_prior,GIDM,60.955,60000,3,1533448.0,degree
TH_prior,GIDM,63.975,60000,3,1380663.0,degree
UCB,GIDM,72.291,60000,4,1875943.0,degree
Bayesian_UCB_prior,GIDM,66.417,60000,4,1723515.0,degree
TH_prior,GIDM,81.148,60000,4,1735467.0,degree
UCB,GIDM,66.984,60000,5,2070169.0,degree
Bayesian_UCB_prior,GIDM,66.533,60000,5,2122528.0,degree
TH_prior,GIDM,64.842,60000,5,1927286.0,degree
UCB,GIDM,64.514,60000,2,1295213.0,voterank
Bayesian_UCB_prior,GIDM,66.05,60000,2,1252296.0,voterank
TH_prior,GIDM,70.024,60000,2,1255813.0,voterank
UCB,GIDM,70.21,60000,3,1683985.0,voterank
Bayesian_UCB_prior,GIDM,62.194,60000,3,1472003.0,voterank
TH_prior,GIDM,62.8,60000,3,1371888.0,voterank
UCB,GIDM,71.658,60000,4,2091664.0,voterank
Bayesian_UCB_prior,GIDM,70.812,60000,4,1932151.0,voterank
TH_prior,GIDM,75.049,60000,4,1910659.0,voterank
UCB,GIDM,57.572,60000,5,2154725.0,voterank
Bayesian_UCB_prior,GIDM,68.148,60000,5,2051382.0,voterank
TH_prior,GIDM,72.141,60000,5,1962359.0,voterank
