Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,62.144,60000,2,1231299.0,pagerank
Bayesian_UCB_prior,MUDAN,58.312,60000,2,1081514.0,pagerank
TH_prior,MUDAN,68.236,60000,2,1185233.0,pagerank
UCB,MUDAN,57.928,60000,3,1615632.0,pagerank
Bayesian_UCB_prior,MUDAN,57.405,60000,3,1547305.0,pagerank
TH_prior,MUDAN,61.937,60000,3,1469821.0,pagerank
UCB,MUDAN,54.19,60000,4,2228271.0,pagerank
Bayesian_UCB_prior,MUDAN,62.331,60000,4,1858744.0,pagerank
TH_prior,MUDAN,56.785,60000,4,1803758.0,pagerank
UCB,MUDAN,78.02,60000,5,2455158.0,pagerank
Bayesian_UCB_prior,MUDAN,61.14,60000,5,2088787.0,pagerank
TH_prior,MUDAN,66.632,60000,5,2166607.0,pagerank
UCB,MUDAN,70.587,60000,2,1314169.0,degree
Bayesian_UCB_prior,MUDAN,58.921,60000,2,1122352.0,degree
TH_prior,MUDAN,66.921,60000,2,1154188.0,degree
UCB,MUDAN,74.738,60000,3,1942842.0,degree
Bayesian_UCB_prior,MUDAN,55.526,60000,3,1513292.0,degree
TH_prior,MUDAN,64.323,60000,3,1496470.0,degree
UCB,MUDAN,58.081,60000,4,1966461.0,degree
Bayesian_UCB_prior,MUDAN,56.304,60000,4,1946439.0,degree
TH_prior,MUDAN,67.609,60000,4,1827635.0,degree
UCB,MUDAN,88.799,60000,5,2531142.0,degree
Bayesian_UCB_prior,MUDAN,60.574,60000,5,2222949.0,degree
TH_prior,MUDAN,66.884,60000,5,2200791.0,degree
UCB,MUDAN,65.034,60000,2,1202315.0,voterank
Bayesian_UCB_prior,MUDAN,56.039,60000,2,1180235.0,voterank
TH_prior,MUDAN,68.247,60000,2,1090333.0,voterank
UCB,MUDAN,57.663,60000,3,1908991.0,voterank
Bayesian_UCB_prior,MUDAN,56.163,60000,3,1628163.0,voterank
TH_prior,MUDAN,65.71,60000,3,1538688.0,voterank
UCB,MUDAN,56.421,60000,4,2760440.0,voterank
Bayesian_UCB_prior,MUDAN,56.719,60000,4,1985946.0,voterank
TH_prior,MUDAN,65.067,60000,4,2035985.0,voterank
UCB,MUDAN,61.513,60000,5,2677372.0,voterank
Bayesian_UCB_prior,MUDAN,56.5,60000,5,2115429.0,voterank
TH_prior,MUDAN,66.21,60000,5,2101679.0,voterank
