Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,52.597,60000,2,1228609.415523144,pagerank
Bayesian_UCB_prior,MUDAR,57.731,60000,2,1037020.9649532101,pagerank
TH_prior,MUDAR,64.31,60000,2,1021877.8589733028,pagerank
UCB,MUDAR,58.897,60000,3,1501149.731906077,pagerank
Bayesian_UCB_prior,MUDAR,58.992,60000,3,1357988.8751149902,pagerank
TH_prior,MUDAR,54.085,60000,3,1370122.042210799,pagerank
UCB,MUDAR,73.365,60000,4,1821023.0271508074,pagerank
Bayesian_UCB_prior,MUDAR,58.85,60000,4,1610612.9540653038,pagerank
TH_prior,MUDAR,51.583,60000,4,1509739.213241355,pagerank
UCB,MUDAR,55.278,60000,5,1921426.4554450442,pagerank
Bayesian_UCB_prior,MUDAR,57.846,60000,5,1937665.796091563,pagerank
TH_prior,MUDAR,68.554,60000,5,1871516.651605349,pagerank
UCB,MUDAR,49.478,60000,2,1320852.4283973118,degree
Bayesian_UCB_prior,MUDAR,56.462,60000,2,1061009.5044946452,degree
TH_prior,MUDAR,59.673,60000,2,1000400.4184000199,degree
UCB,MUDAR,52.251,60000,3,1612656.9724064097,degree
Bayesian_UCB_prior,MUDAR,52.406,60000,3,1395450.603142238,degree
TH_prior,MUDAR,62.676,60000,3,1409414.37544613,degree
UCB,MUDAR,78.57,60000,4,1876313.103997792,degree
Bayesian_UCB_prior,MUDAR,57.132,60000,4,1750524.0305317647,degree
TH_prior,MUDAR,70.843,60000,4,1768473.6862139236,degree
UCB,MUDAR,54.92,60000,5,2173861.356869131,degree
Bayesian_UCB_prior,MUDAR,65.156,60000,5,1925485.3149304108,degree
TH_prior,MUDAR,72.911,60000,5,1890599.0682356597,degree
UCB,MUDAR,53.598,60000,2,1228807.9803249657,voterank
Bayesian_UCB_prior,MUDAR,59.706,60000,2,1041310.6394550242,voterank
TH_prior,MUDAR,69.948,60000,2,1056196.8393078328,voterank
UCB,MUDAR,58.413,60000,3,1831602.223163013,voterank
Bayesian_UCB_prior,MUDAR,52.838,60000,3,1466800.239427087,voterank
TH_prior,MUDAR,61.059,60000,3,1392613.6094341215,voterank
UCB,MUDAR,59.944,60000,4,2024736.4386717984,voterank
Bayesian_UCB_prior,MUDAR,56.962,60000,4,1611301.6204211202,voterank
TH_prior,MUDAR,67.556,60000,4,1730608.6566285663,voterank
UCB,MUDAR,50.84,60000,5,1908067.6869042416,voterank
Bayesian_UCB_prior,MUDAR,63.563,60000,5,1841461.599934102,voterank
TH_prior,MUDAR,63.752,60000,5,1885247.9913579116,voterank
