,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,74.862,60000,2,1320764.0,pagerank
1,UCB,MUDAR,75.887,60000,2,1241956.2234095023,degree
2,UCB,GIDM,62.585,60000,2,1627548.0,degree
3,UCB,MUDAN,67.211,60000,3,1902944.0,pagerank
4,UCB,MUDAR,70.316,60000,3,1721200.510105605,pagerank
5,UCB,GIDM,59.832,60000,3,1936187.0,pagerank
6,UCB,MUDAN,62.05,60000,4,2305531.0,voterank
7,UCB,MUDAR,78.33,60000,4,2001467.1515199228,degree
8,UCB,GIDM,63.817,60000,4,2314593.0,pagerank
9,UCB,MUDAN,59.929,60000,5,2870482.0,degree
10,UCB,MUDAR,73.02,60000,5,2112686.774363915,voterank
11,UCB,GIDM,57.572,60000,5,2154725.0,voterank
