Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,39.435,20000,1,259885.0,normal
Bayesian_UCB,GIDM,37.166,20000,1,254132.0,normal
TH,GIDM,201.088,20000,1,336459.0,normal
UCB,GIDM,35.217,20000,2,365762.0,normal
Bayesian_UCB,GIDM,35.812,20000,2,361857.0,normal
TH,GIDM,199.972,20000,2,391992.0,normal
UCB,GIDM,35.596,20000,3,434687.0,normal
Bayesian_UCB,GIDM,36.306,20000,3,443107.0,normal
TH,GIDM,204.481,20000,3,522852.0,normal
UCB,GIDM,36.144,20000,4,496431.0,normal
Bayesian_UCB,GIDM,36.478,20000,4,472155.0,normal
TH,GIDM,205.552,20000,4,578127.0,normal
UCB,GIDM,36.228,20000,5,536327.0,normal
Bayesian_UCB,GIDM,36.702,20000,5,516706.0,normal
TH,GIDM,205.239,20000,5,636754.0,normal
UCB,GIDM,14.826,20000,1,430233.0,pagerank
Bayesian_UCB,GIDM,12.626,20000,1,322184.0,pagerank
Bayesian_UCB_prior,GIDM,12.93,20000,1,318880.0,pagerank
TH,GIDM,14.593,20000,1,292069.0,pagerank
TH_prior,GIDM,14.325,20000,1,314452.0,pagerank
UCB,GIDM,11.968,20000,2,458436.0,pagerank
Bayesian_UCB,GIDM,12.332,20000,2,468387.0,pagerank
Bayesian_UCB_prior,GIDM,12.36,20000,2,452070.0,pagerank
TH,GIDM,14.222,20000,2,451196.0,pagerank
TH_prior,GIDM,14.966,20000,2,398288.0,pagerank
UCB,GIDM,17.554,20000,3,616381.0,pagerank
Bayesian_UCB,GIDM,11.933,20000,3,502084.0,pagerank
Bayesian_UCB_prior,GIDM,14.057,20000,3,597816.0,pagerank
TH,GIDM,15.497,20000,3,565320.0,pagerank
TH_prior,GIDM,14.232,20000,3,516553.0,pagerank
UCB,GIDM,12.144,20000,4,752327.0,pagerank
Bayesian_UCB,GIDM,15.062,20000,4,690624.0,pagerank
Bayesian_UCB_prior,GIDM,14.18,20000,4,654894.0,pagerank
TH,GIDM,14.221,20000,4,572012.0,pagerank
TH_prior,GIDM,15.252,20000,4,610588.0,pagerank
UCB,GIDM,17.831,20000,5,931791.0,pagerank
Bayesian_UCB,GIDM,15.456,20000,5,781587.0,pagerank
Bayesian_UCB_prior,GIDM,12.961,20000,5,624856.0,pagerank
TH,GIDM,15.046,20000,5,689366.0,pagerank
TH_prior,GIDM,15.656,20000,5,624047.0,pagerank
UCB,GIDM,12.596,20000,1,348859.0,degree
Bayesian_UCB,GIDM,13.536,20000,1,301603.0,degree
Bayesian_UCB_prior,GIDM,16.086,20000,1,328591.0,degree
TH,GIDM,13.424,20000,1,321328.0,degree
TH_prior,GIDM,11.57,20000,1,305573.0,degree
UCB,GIDM,22.207,20000,2,581493.0,degree
Bayesian_UCB,GIDM,15.6,20000,2,465857.0,degree
Bayesian_UCB_prior,GIDM,14.116,20000,2,442968.0,degree
TH,GIDM,16.033,20000,2,485438.0,degree
TH_prior,GIDM,13.74,20000,2,464709.0,degree
UCB,GIDM,13.328,20000,3,620321.0,degree
Bayesian_UCB,GIDM,14.192,20000,3,522065.0,degree
Bayesian_UCB_prior,GIDM,16.35,20000,3,606537.0,degree
TH,GIDM,16.463,20000,3,541410.0,degree
TH_prior,GIDM,15.704,20000,3,568921.0,degree
UCB,GIDM,14.287,20000,4,688583.0,degree
Bayesian_UCB,GIDM,12.324,20000,4,583235.0,degree
Bayesian_UCB_prior,GIDM,12.586,20000,4,634900.0,degree
TH,GIDM,14.677,20000,4,615722.0,degree
TH_prior,GIDM,15.777,20000,4,591942.0,degree
