Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,33.903,20000,1,258961.0,normal
Bayesian_UCB,GIDM,36.068,20000,1,259678.0,normal
TH,GIDM,198.859,20000,1,283967.0,normal
UCB,GIDM,36.292,20000,2,353579.0,normal
Bayesian_UCB,GIDM,35.435,20000,2,362925.0,normal
TH,GIDM,209.683,20000,2,441298.0,normal
UCB,GIDM,40.859,20000,3,433572.0,normal
Bayesian_UCB,GIDM,39.856,20000,3,441054.0,normal
TH,GIDM,209.298,20000,3,520044.0,normal
UCB,GIDM,38.07,20000,4,494761.0,normal
Bayesian_UCB,GIDM,38.766,20000,4,494490.0,normal
TH,GIDM,204.269,20000,4,538656.0,normal
UCB,GIDM,38.184,20000,5,540494.0,normal
Bayesian_UCB,GIDM,38.83,20000,5,547343.0,normal
TH,GIDM,202.249,20000,5,583797.0,normal
UCB,GIDM,8.682,20000,1,359530.0,pagerank
Bayesian_UCB,GIDM,8.31,20000,1,313130.0,pagerank
Bayesian_UCB_prior,GIDM,6.992,20000,1,320192.0,pagerank
TH,GIDM,10.584,20000,1,311418.0,pagerank
TH_prior,GIDM,11.229,20000,1,330677.0,pagerank
UCB,GIDM,13.304,20000,2,559224.0,pagerank
Bayesian_UCB,GIDM,11.844,20000,2,429542.0,pagerank
Bayesian_UCB_prior,GIDM,11.38,20000,2,442162.0,pagerank
TH,GIDM,12.261,20000,2,408778.0,pagerank
TH_prior,GIDM,12.305,20000,2,446350.0,pagerank
UCB,GIDM,12.702,20000,3,707066.0,pagerank
Bayesian_UCB,GIDM,10.007,20000,3,528724.0,pagerank
Bayesian_UCB_prior,GIDM,10.314,20000,3,530280.0,pagerank
TH,GIDM,11.843,20000,3,512245.0,pagerank
TH_prior,GIDM,12.482,20000,3,550338.0,pagerank
UCB,GIDM,13.514,20000,4,722388.0,pagerank
Bayesian_UCB,GIDM,11.789,20000,4,638663.0,pagerank
Bayesian_UCB_prior,GIDM,12.398,20000,4,720085.0,pagerank
TH,GIDM,12.863,20000,4,631110.0,pagerank
TH_prior,GIDM,12.847,20000,4,664751.0,pagerank
UCB,GIDM,12.983,20000,5,879075.0,pagerank
Bayesian_UCB,GIDM,11.757,20000,5,711009.0,pagerank
Bayesian_UCB_prior,GIDM,14.23,20000,5,721315.0,pagerank
TH,GIDM,11.86,20000,5,647494.0,pagerank
TH_prior,GIDM,13.937,20000,5,670659.0,pagerank
UCB,GIDM,13.824,20000,1,388403.0,degree
Bayesian_UCB,GIDM,9.564,20000,1,306022.0,degree
Bayesian_UCB_prior,GIDM,8.266,20000,1,333957.0,degree
TH,GIDM,12.52,20000,1,310934.0,degree
TH_prior,GIDM,11.766,20000,1,331972.0,degree
UCB,GIDM,12.854,20000,2,649546.0,degree
Bayesian_UCB,GIDM,10.352,20000,2,459540.0,degree
Bayesian_UCB_prior,GIDM,11.774,20000,2,434258.0,degree
TH,GIDM,13.518,20000,2,470811.0,degree
TH_prior,GIDM,11.35,20000,2,430470.0,degree
UCB,GIDM,12.802,20000,3,795898.0,degree
Bayesian_UCB,GIDM,12.06,20000,3,570761.0,degree
Bayesian_UCB_prior,GIDM,13.354,20000,3,593412.0,degree
TH,GIDM,13.566,20000,3,499989.0,degree
TH_prior,GIDM,14.038,20000,3,581379.0,degree
UCB,GIDM,15.775,20000,4,779758.0,degree
Bayesian_UCB,GIDM,12.757,20000,4,596860.0,degree
Bayesian_UCB_prior,GIDM,15.581,20000,4,668060.0,degree
TH,GIDM,14.319,20000,4,595328.0,degree
TH_prior,GIDM,15.181,20000,4,672946.0,degree
UCB,GIDM,15.026,20000,5,817808.0,degree
Bayesian_UCB,GIDM,11.397,20000,5,653289.0,degree
Bayesian_UCB_prior,GIDM,12.21,20000,5,673940.0,degree
TH,GIDM,14.267,20000,5,736161.0,degree
TH_prior,GIDM,13.093,20000,5,652910.0,degree
UCB,GIDM,14.007,20000,1,462018.0,voterank
Bayesian_UCB,GIDM,11.465,20000,1,320110.0,voterank
Bayesian_UCB_prior,GIDM,11.331,20000,1,310672.0,voterank
TH,GIDM,10.984,20000,1,299680.0,voterank
TH_prior,GIDM,13.11,20000,1,331026.0,voterank
UCB,GIDM,11.588,20000,2,644817.0,voterank
Bayesian_UCB,GIDM,13.234,20000,2,479883.0,voterank
Bayesian_UCB_prior,GIDM,10.793,20000,2,431298.0,voterank
TH,GIDM,13.967,20000,2,482062.0,voterank
TH_prior,GIDM,13.324,20000,2,426745.0,voterank
UCB,GIDM,10.123,20000,3,631201.0,voterank
Bayesian_UCB,GIDM,10.254,20000,3,631329.0,voterank
Bayesian_UCB_prior,GIDM,11.397,20000,3,601005.0,voterank
TH,GIDM,10.271,20000,3,617805.0,voterank
TH_prior,GIDM,12.584,20000,3,564789.0,voterank
UCB,GIDM,12.633,20000,4,882022.0,voterank
Bayesian_UCB,GIDM,12.376,20000,4,741403.0,voterank
Bayesian_UCB_prior,GIDM,11.557,20000,4,587149.0,voterank
TH,GIDM,13.808,20000,4,626301.0,voterank
TH_prior,GIDM,13.394,20000,4,654476.0,voterank
UCB,GIDM,16.234,20000,5,801868.0,voterank
Bayesian_UCB,GIDM,9.552,20000,5,656809.0,voterank
Bayesian_UCB_prior,GIDM,8.184,20000,5,680692.0,voterank
TH,GIDM,10.083,20000,5,726856.0,voterank
TH_prior,GIDM,10.548,20000,5,736085.0,voterank
UCB,GIDM,6.756,20000,1,394622.0,shapley_degree
Bayesian_UCB,GIDM,7.0,20000,1,328588.0,shapley_degree
Bayesian_UCB_prior,GIDM,7.098,20000,1,305941.0,shapley_degree
TH,GIDM,9.122,20000,1,311984.0,shapley_degree
TH_prior,GIDM,8.392,20000,1,300850.0,shapley_degree
UCB,GIDM,9.047,20000,2,466465.0,shapley_degree
Bayesian_UCB,GIDM,10.69,20000,2,474394.0,shapley_degree
Bayesian_UCB_prior,GIDM,9.575,20000,2,419681.0,shapley_degree
TH,GIDM,11.406,20000,2,444025.0,shapley_degree
TH_prior,GIDM,11.835,20000,2,483935.0,shapley_degree
UCB,GIDM,10.451,20000,3,646554.0,shapley_degree
Bayesian_UCB,GIDM,8.738,20000,3,536735.0,shapley_degree
Bayesian_UCB_prior,GIDM,8.975,20000,3,528138.0,shapley_degree
TH,GIDM,10.084,20000,3,512041.0,shapley_degree
TH_prior,GIDM,12.351,20000,3,527144.0,shapley_degree
UCB,GIDM,12.938,20000,4,678872.0,shapley_degree
Bayesian_UCB,GIDM,11.687,20000,4,537018.0,shapley_degree
Bayesian_UCB_prior,GIDM,10.972,20000,4,562560.0,shapley_degree
TH,GIDM,12.307,20000,4,645736.0,shapley_degree
TH_prior,GIDM,13.81,20000,4,593138.0,shapley_degree
UCB,GIDM,11.777,20000,5,713940.0,shapley_degree
Bayesian_UCB,GIDM,9.108,20000,5,666453.0,shapley_degree
Bayesian_UCB_prior,GIDM,7.555,20000,5,629734.0,shapley_degree
TH,GIDM,11.125,20000,5,658389.0,shapley_degree
TH_prior,GIDM,9.962,20000,5,624553.0,shapley_degree
UCB,GIDM,11.825,20000,1,377774.0,shapley_threshold
Bayesian_UCB,GIDM,9.048,20000,1,324649.0,shapley_threshold
Bayesian_UCB_prior,GIDM,7.829,20000,1,328344.0,shapley_threshold
TH,GIDM,12.118,20000,1,292615.0,shapley_threshold
TH_prior,GIDM,11.827,20000,1,340622.0,shapley_threshold
UCB,GIDM,11.737,20000,2,644837.0,shapley_threshold
Bayesian_UCB,GIDM,10.621,20000,2,443201.0,shapley_threshold
Bayesian_UCB_prior,GIDM,10.812,20000,2,406804.0,shapley_threshold
TH,GIDM,11.407,20000,2,458018.0,shapley_threshold
TH_prior,GIDM,12.241,20000,2,397396.0,shapley_threshold
UCB,GIDM,13.188,20000,3,670123.0,shapley_threshold
Bayesian_UCB,GIDM,10.642,20000,3,599286.0,shapley_threshold
Bayesian_UCB_prior,GIDM,11.489,20000,3,496083.0,shapley_threshold
TH,GIDM,12.098,20000,3,551054.0,shapley_threshold
TH_prior,GIDM,12.365,20000,3,581579.0,shapley_threshold
UCB,GIDM,13.393,20000,4,738407.0,shapley_threshold
Bayesian_UCB,GIDM,11.041,20000,4,597864.0,shapley_threshold
Bayesian_UCB_prior,GIDM,9.981,20000,4,621783.0,shapley_threshold
TH,GIDM,12.657,20000,4,587635.0,shapley_threshold
TH_prior,GIDM,13.467,20000,4,664960.0,shapley_threshold
UCB,GIDM,14.974,20000,5,938687.0,shapley_threshold
Bayesian_UCB,GIDM,10.385,20000,5,669188.0,shapley_threshold
Bayesian_UCB_prior,GIDM,11.021,20000,5,634019.0,shapley_threshold
TH,GIDM,13.047,20000,5,703318.0,shapley_threshold
TH_prior,GIDM,13.487,20000,5,622678.0,shapley_threshold
UCB,GIDM,12.102,20000,1,371658.0,shapley_closeness
Bayesian_UCB,GIDM,11.482,20000,1,322201.0,shapley_closeness
Bayesian_UCB_prior,GIDM,11.12,20000,1,330409.0,shapley_closeness
TH,GIDM,13.079,20000,1,305605.0,shapley_closeness
TH_prior,GIDM,12.936,20000,1,344085.0,shapley_closeness
UCB,GIDM,10.53,20000,2,512368.0,shapley_closeness
Bayesian_UCB,GIDM,8.081,20000,2,414677.0,shapley_closeness
Bayesian_UCB_prior,GIDM,8.265,20000,2,457900.0,shapley_closeness
TH,GIDM,12.839,20000,2,408431.0,shapley_closeness
TH_prior,GIDM,12.888,20000,2,451012.0,shapley_closeness
UCB,GIDM,11.905,20000,3,698964.0,shapley_closeness
Bayesian_UCB,GIDM,11.37,20000,3,516648.0,shapley_closeness
Bayesian_UCB_prior,GIDM,11.591,20000,3,540380.0,shapley_closeness
TH,GIDM,12.358,20000,3,560440.0,shapley_closeness
TH_prior,GIDM,16.484,20000,3,565813.0,shapley_closeness
UCB,GIDM,6.975,20000,4,660942.0,shapley_closeness
Bayesian_UCB,GIDM,9.249,20000,4,571134.0,shapley_closeness
Bayesian_UCB_prior,GIDM,8.898,20000,4,694237.0,shapley_closeness
TH,GIDM,10.396,20000,4,545263.0,shapley_closeness
TH_prior,GIDM,10.24,20000,4,573303.0,shapley_closeness
UCB,GIDM,11.81,20000,5,881571.0,shapley_closeness
Bayesian_UCB,GIDM,11.419,20000,5,595918.0,shapley_closeness
Bayesian_UCB_prior,GIDM,11.516,20000,5,591014.0,shapley_closeness
TH,GIDM,14.296,20000,5,652337.0,shapley_closeness
TH_prior,GIDM,14.543,20000,5,660679.0,shapley_closeness
