Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,37.955,20000,1,186782.0,normal
Bayesian_UCB,MUDAN,36.998,20000,1,183753.0,normal
TH,MUDAN,199.035,20000,1,215045.0,normal
UCB,MUDAN,34.331,20000,2,309616.0,normal
Bayesian_UCB,MUDAN,38.87,20000,2,316273.0,normal
TH,MUDAN,198.335,20000,2,332074.0,normal
UCB,MUDAN,35.83,20000,3,431778.0,normal
Bayesian_UCB,MUDAN,37.905,20000,3,430042.0,normal
TH,MUDAN,196.091,20000,3,452162.0,normal
UCB,MUDAN,34.379,20000,4,528588.0,normal
Bayesian_UCB,MUDAN,35.745,20000,4,524306.0,normal
TH,MUDAN,197.195,20000,4,538174.0,normal
UCB,MUDAN,34.459,20000,5,583450.0,normal
Bayesian_UCB,MUDAN,36.684,20000,5,590740.0,normal
TH,MUDAN,197.114,20000,5,612586.0,normal
UCB,MUDAN,5.624,20000,1,272953.0,pagerank
Bayesian_UCB,MUDAN,6.502,20000,1,236155.0,pagerank
Bayesian_UCB_prior,MUDAN,6.144,20000,1,217370.0,pagerank
TH,MUDAN,8.873,20000,1,201297.0,pagerank
TH_prior,MUDAN,10.276,20000,1,212135.0,pagerank
UCB,MUDAN,11.758,20000,2,410320.0,pagerank
Bayesian_UCB,MUDAN,10.004,20000,2,426054.0,pagerank
Bayesian_UCB_prior,MUDAN,9.472,20000,2,355386.0,pagerank
TH,MUDAN,10.375,20000,2,378406.0,pagerank
TH_prior,MUDAN,10.858,20000,2,379615.0,pagerank
UCB,MUDAN,11.465,20000,3,606579.0,pagerank
Bayesian_UCB,MUDAN,10.628,20000,3,574671.0,pagerank
Bayesian_UCB_prior,MUDAN,7.225,20000,3,502719.0,pagerank
TH,MUDAN,8.745,20000,3,501792.0,pagerank
TH_prior,MUDAN,10.105,20000,3,522722.0,pagerank
UCB,MUDAN,6.24,20000,4,755960.0,pagerank
Bayesian_UCB,MUDAN,8.393,20000,4,662058.0,pagerank
