Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,31.85,20000,2,290917.7586513212,normal
Bayesian_UCB,MUDAR,33.159,20000,2,297198.30988999177,normal
TH,MUDAR,195.551,20000,2,304535.0624815964,normal
UCB,MUDAR,32.047,20000,3,382434.5451011069,normal
Bayesian_UCB,MUDAR,32.037,20000,3,376234.2804342453,normal
TH,MUDAR,193.082,20000,3,442511.49107038544,normal
UCB,MUDAR,30.928,20000,4,433528.30231420614,normal
Bayesian_UCB,MUDAR,32.184,20000,4,459400.48370880436,normal
TH,MUDAR,195.775,20000,4,546936.698832286,normal
UCB,MUDAR,32.074,20000,5,489451.8998050916,normal
Bayesian_UCB,MUDAR,32.634,20000,5,489691.4307851728,normal
TH,MUDAR,196.592,20000,5,487342.8775059789,normal
UCB,MUDAR,5.9,20000,2,478855.252235396,pagerank
Bayesian_UCB,MUDAR,5.847,20000,2,324238.9136487917,pagerank
Bayesian_UCB_prior,MUDAR,5.562,20000,2,357360.6953913576,pagerank
TH,MUDAR,7.063,20000,2,339195.2426652197,pagerank
TH_prior,MUDAR,7.311,20000,2,401145.46766219067,pagerank
UCB,MUDAR,4.944,20000,3,580678.9069101826,pagerank
Bayesian_UCB,MUDAR,6.63,20000,3,460635.4845869165,pagerank
Bayesian_UCB_prior,MUDAR,6.109,20000,3,456511.09976673074,pagerank
TH,MUDAR,7.885,20000,3,453934.9329251467,pagerank
TH_prior,MUDAR,7.793,20000,3,453286.8981790468,pagerank
UCB,MUDAR,7.489,20000,4,610730.3439461957,pagerank
Bayesian_UCB,MUDAR,7.278,20000,4,538022.0307329784,pagerank
Bayesian_UCB_prior,MUDAR,6.548,20000,4,574390.397358548,pagerank
TH,MUDAR,8.274,20000,4,511525.46614661755,pagerank
TH_prior,MUDAR,7.676,20000,4,535701.9272448526,pagerank
UCB,MUDAR,11.666,20000,5,771363.1830502629,pagerank
Bayesian_UCB,MUDAR,8.999,20000,5,665191.8647663733,pagerank
Bayesian_UCB_prior,MUDAR,6.278,20000,5,567004.2212499601,pagerank
TH,MUDAR,8.047,20000,5,579632.3193336476,pagerank
TH_prior,MUDAR,7.841,20000,5,593946.818932346,pagerank
UCB,MUDAR,5.509,20000,2,410372.7722635445,degree
Bayesian_UCB,MUDAR,5.885,20000,2,374386.2714083004,degree
Bayesian_UCB_prior,MUDAR,5.771,20000,2,365469.6001362824,degree
TH,MUDAR,7.822,20000,2,364410.98854416696,degree
TH_prior,MUDAR,7.033,20000,2,342839.1616551308,degree
UCB,MUDAR,6.978,20000,3,502084.7038747984,degree
Bayesian_UCB,MUDAR,5.803,20000,3,538724.214124062,degree
Bayesian_UCB_prior,MUDAR,5.835,20000,3,470545.83029973647,degree
TH,MUDAR,8.242,20000,3,517522.0264133395,degree
TH_prior,MUDAR,7.412,20000,3,470448.53506779176,degree
