,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,16.419,20000,2,507720.0,shapley_closeness
1,UCB,MUDAR,5.9,20000,2,478855.252235396,pagerank
2,UCB,GIDM,10.952,20000,2,595698.0,shapley_degree
3,UCB,MUDAN,8.057,20000,3,632581.0,degree
4,UCB,MUDAR,6.601,20000,3,619532.9694762261,voterank
5,UCB,GIDM,13.328,20000,3,620321.0,degree
6,UCB,MUDAN,13.571,20000,4,828586.0,pagerank
7,UCB,MUDAR,4.854,20000,4,649729.1335260118,shapley_closeness
8,UCB,GIDM,12.144,20000,4,752327.0,pagerank
9,UCB,MUDAN,10.531,20000,5,834821.0,shapley_threshold
10,UCB,MUDAR,11.666,20000,5,771363.1830502629,pagerank
11,UCB,GIDM,17.831,20000,5,931791.0,pagerank
