Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,8.028,20000,2,430505.0,pagerank
UCB,MUDAN,7.379,20000,3,595843.0,pagerank
UCB,MUDAN,8.346,20000,4,745765.0,pagerank
UCB,MUDAN,10.595,20000,5,837055.0,pagerank
UCB,MUDAN,6.919,20000,2,438781.0,degree
UCB,MUDAN,6.883,20000,3,654680.0,degree
UCB,MUDAN,7.041,20000,4,698817.0,degree
UCB,MUDAN,6.537,20000,5,948887.0,degree
UCB,MUDAN,5.812,20000,2,433504.0,voterank
UCB,MUDAN,6.552,20000,3,569437.0,voterank
UCB,MUDAN,4.544,20000,4,734456.0,voterank
UCB,MUDAN,4.111,20000,5,824205.0,voterank
UCB,MUDAN,5.191,20000,2,433050.0,shapley_degree
UCB,MUDAN,7.446,20000,3,601622.0,shapley_degree
UCB,MUDAN,5.097,20000,4,663306.0,shapley_degree
UCB,MUDAN,5.777,20000,5,869205.0,shapley_degree
