Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,4.713,20000,2,384402.0,pagerank
UCB,MUDAN,5.749,20000,3,533926.0,pagerank
UCB,MUDAN,6.573,20000,4,674599.0,pagerank
UCB,MUDAN,7.566,20000,5,770227.0,pagerank
UCB,MUDAN,4.516,20000,2,467168.0,degree
UCB,MUDAN,13.689,20000,3,446052.0,degree
UCB,MUDAN,7.893,20000,4,680757.0,degree
UCB,MUDAN,7.014,20000,5,705151.0,degree
UCB,MUDAN,10.032,20000,2,527809.0,voterank
UCB,MUDAN,5.327,20000,3,523036.0,voterank
UCB,MUDAN,7.83,20000,4,614684.0,voterank
UCB,MUDAN,8.995,20000,5,872530.0,voterank
UCB,MUDAN,7.414,20000,2,415104.0,shapley_degree
UCB,MUDAN,9.896,20000,3,544396.0,shapley_degree
UCB,MUDAN,9.173,20000,4,725860.0,shapley_degree
UCB,MUDAN,5.862,20000,5,703525.0,shapley_degree
