Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,32.6,40000,2,1106150.0,pagerank
UCB,GIDM,32.367,40000,3,1592862.0,pagerank
UCB,GIDM,24.989,40000,4,1295005.0,pagerank
UCB,GIDM,28.338,40000,5,1447926.0,pagerank
UCB,GIDM,29.983,40000,2,1129900.0,degree
UCB,GIDM,30.322,40000,3,1405664.0,degree
UCB,GIDM,26.03,40000,4,1336163.0,degree
UCB,GIDM,34.322,40000,5,1816153.0,degree
UCB,GIDM,25.71,40000,2,1109174.0,voterank
UCB,GIDM,28.244,40000,3,1180299.0,voterank
UCB,GIDM,33.79,40000,4,1283342.0,voterank
UCB,GIDM,39.793,40000,5,1773955.0,voterank
UCB,GIDM,28.606,40000,2,1173350.0,shapley_degree
UCB,GIDM,36.527,40000,3,1156650.0,shapley_degree
UCB,GIDM,38.695,40000,4,1375948.0,shapley_degree
UCB,GIDM,31.363,40000,5,1384852.0,shapley_degree
