Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,31.773,40000,2,1046874.0,pagerank
UCB,GIDM,26.027,40000,3,1147965.0,pagerank
UCB,GIDM,33.241,40000,4,1200389.0,pagerank
UCB,GIDM,24.448,40000,5,1317980.0,pagerank
UCB,GIDM,26.839,40000,2,812235.0,degree
UCB,GIDM,35.645,40000,3,1368402.0,degree
UCB,GIDM,29.022,40000,4,1345325.0,degree
UCB,GIDM,25.348,40000,5,1437483.0,degree
UCB,GIDM,25.694,40000,2,1010205.0,voterank
UCB,GIDM,31.128,40000,3,1277455.0,voterank
UCB,GIDM,25.142,40000,4,1264278.0,voterank
UCB,GIDM,27.759,40000,5,1523516.0,voterank
UCB,GIDM,26.106,40000,2,1014407.0,shapley_degree
UCB,GIDM,32.212,40000,3,1515597.0,shapley_degree
UCB,GIDM,33.014,40000,4,1326293.0,shapley_degree
UCB,GIDM,22.266,40000,5,1219698.0,shapley_degree
