Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAR,33.66,20000,2,294277.57702504686
Bayesian_UCB,MUDAR,35.817,20000,2,295233.3713104854
TH,MUDAR,199.493,20000,2,312474.05813404935
UCB,MUDAR,33.92,20000,3,386786.3327494633
Bayesian_UCB,MUDAR,33.753,20000,3,385209.7170141487
TH,MUDAR,194.526,20000,3,404387.7612804399
UCB,MUDAR,32.499,20000,4,438682.6131225394
Bayesian_UCB,MUDAR,33.312,20000,4,448180.82042119995
TH,MUDAR,199.434,20000,4,508274.8183610137
UCB,MUDAR,34.232,20000,5,483706.0798718834
Bayesian_UCB,MUDAR,34.411,20000,5,489014.42415015283
TH,MUDAR,200.868,20000,5,580936.991520745
