Bandit,Auction,Time (s),T,k,Revenue
UCB,VCG,33.616,20000,1,16565
Bayesian_UCB,VCG,33.696,20000,1,33504
Bayesian_UCB,VCG,32.283,20000,1,15649
EPS,VCG,23.073,20000,1,17103
TH,VCG,202.82,20000,1,40198
UCB,VCG,33.282,20000,2,-401962
Bayesian_UCB,VCG,33.618,20000,2,-438514
Bayesian_UCB,VCG,38.796,20000,2,-424217
EPS,VCG,25.879,20000,2,-416649
TH,VCG,197.758,20000,2,-407285
UCB,VCG,34.297,20000,3,-1034889
Bayesian_UCB,VCG,35.453,20000,3,-1021094
Bayesian_UCB,VCG,35.869,20000,3,-1023880
EPS,VCG,25.256,20000,3,-983529
TH,VCG,199.977,20000,3,-1040575
UCB,VCG,34.344,20000,4,-1704039
Bayesian_UCB,VCG,34.944,20000,4,-1703112
Bayesian_UCB,VCG,36.531,20000,4,-1676159
EPS,VCG,25.481,20000,4,-1729634
TH,VCG,200.826,20000,4,-1817280
UCB,VCG,34.332,20000,5,-2346377
Bayesian_UCB,VCG,33.179,20000,5,-2353745
Bayesian_UCB,VCG,33.711,20000,5,-2407503
EPS,VCG,24.997,20000,5,-2351805
TH,VCG,196.703,20000,5,-2597465
