,Bandit,Auction,Time (s),T,k,Revenue
0,TH,MUDAN,202.849,20000,2,324416.0
1,TH,MUDAR,199.493,20000,2,312474.0581340493
2,Bayesian_UCB,VCG,35.047,20000,2,-407192.0
3,TH,GIDM,207.19,20000,2,420489.0
4,TH,MUDAN,204.507,20000,3,498433.0
5,TH,MUDAR,194.526,20000,3,404387.7612804399
6,Bayesian_UCB,VCG,33.531,20000,3,-993641.0
7,TH,GIDM,208.207,20000,3,452776.0
8,TH,MUDAN,202.218,20000,4,529409.0
9,TH,MUDAR,199.434,20000,4,508274.8183610137
10,Bayesian_UCB,VCG,36.21,20000,4,-1651358.0
11,EPS,GIDM,26.263,20000,4,500167.0
12,TH,MUDAN,201.361,20000,5,610472.0
13,TH,MUDAR,200.868,20000,5,580936.991520745
14,UCB,VCG,33.174,20000,5,-2344057.0
15,TH,GIDM,204.124,20000,5,576078.0
