Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAR,182.592,80000,2,1520907.4472125883
Bayesian_UCB,MUDAR,196.465,80000,2,1266724.3069281683
TH,MUDAR,831.578,80000,2,1348451.7606828979
UCB,MUDAR,182.622,80000,3,1907927.1937722843
Bayesian_UCB,MUDAR,185.8,80000,3,1704906.1004889542
TH,MUDAR,817.187,80000,3,1672648.3580863855
UCB,MUDAR,188.418,80000,4,2226846.784467973
Bayesian_UCB,MUDAR,190.363,80000,4,1977461.823198386
TH,MUDAR,813.577,80000,4,2089272.135235869
UCB,MUDAR,187.111,80000,5,2612488.7313729096
Bayesian_UCB,MUDAR,187.998,80000,5,2179222.560685823
TH,MUDAR,826.634,80000,5,2196912.6720159366
